"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
13,"OBD.ours0",2.62,5.26,63.6,23.64,4.06,
13,"MTD.bf",0.14,2.64,21.68,56.56,18.98,0
13,"OBD.bf",2.58,5.28,62.04,23.9,5.38,
13,"MTD.ours1",0.1,2.3,23.44,54.5,19.66,0
13,"OBD.ours1",1.96,6.34,63.88,22.94,3.82,
13,"MTD.ours2",0.1,2.4,23.04,54.08,20.38,0
13,"OBD.ours2",2.32,6.08,62.46,23.46,4.66,
13,"MTD.ours3",0.16,2.22,22.24,55.4,19.98,0
13,"OBD.ours3",2.4,6.26,59.42,25.16,5.76,
13,"MTD.titeet",0.1,1.5,34.3,49.6,14.4,0.4
13,"OBD.titeet",8.2,10.5,50.8,22.1,7.9,
13,"MTD.tite12",0,2,17.8,41.2,37.9,1.06
13,"OBD.tite12",7.3,9.6,50,23.7,8.4,
13,"MTD.bfet",,,,,,1
13,"OBD.bfet",5.1,6.9,56.4,25.5,5,
26,"MTD.ours0",0.1,2.56,18.48,56.64,22.22,0
26,"OBD.ours0",4.64,12.32,19.3,52.92,7.52,
26,"MTD.bf",0.14,2.38,18.62,56,22.86,0
26,"OBD.bf",8.18,11.88,19.62,50.46,8.8,
26,"MTD.ours1",0.1,2.16,18.3,56.12,23.32,0
26,"OBD.ours1",5.42,12.04,19.38,52.12,8.26,
26,"MTD.ours2",0.06,2.56,18.12,55.4,23.86,0
26,"OBD.ours2",5.02,12.94,17.96,52.46,8.48,
26,"MTD.ours3",0.12,1.94,17.24,56.92,23.78,0
26,"OBD.ours3",4.52,12.02,18.22,51.38,10.98,
26,"MTD.titeet",0.1,2.1,20.6,57.5,19.6,0.8
26,"OBD.titeet",12.3,16.1,16.7,40.6,13.5,
26,"MTD.tite12",0,1.7,14.4,39.8,43,1.04
26,"OBD.tite12",12.1,14.9,16.7,41.7,13.5,
26,"MTD.bfet",,,,,,1.2
26,"OBD.bfet",9.9,12.1,17.6,50.2,9,
20,"MTD.ours0",1.06,6.62,23.42,32.18,36.72,0
20,"OBD.ours0",5.26,45.22,26.7,16.2,6.46,
20,"MTD.bf",0.84,6.74,24.26,32.66,35.5,0
20,"OBD.bf",4.6,44.76,26.36,16.68,7.48,
20,"MTD.ours1",1.04,7.08,21.9,31.2,38.76,0.02
20,"OBD.ours1",5.14,45.02,26.24,16.44,6.82,
20,"MTD.ours2",1.5,6.34,22.92,31.46,37.78,0
20,"OBD.ours2",5.7,44.44,25.94,16.56,7.08,
20,"MTD.ours3",1.04,6.92,23.86,31.3,36.88,0
20,"OBD.ours3",5.22,43.94,26.16,16.4,8,
20,"MTD.titeet",0.2,22.5,34.1,26.5,16.7,0.3
20,"OBD.titeet",11.7,43.4,24.2,13.7,6.8,
20,"MTD.tite12",0.2,6.2,18.6,29.5,45.2,0.3
20,"OBD.tite12",8.9,38.4,23.7,18.5,10.2,
20,"MTD.bfet",,,,,,0.9
20,"OBD.bfet",7.9,46.1,25.7,14.4,5,
27,"MTD.ours0",2.76,35,45.18,14.2,2.86,0
27,"OBD.ours0",53.88,31.3,12.2,2.26,0.28,
27,"MTD.bf",2.64,34.74,45.04,14.6,2.98,0
27,"OBD.bf",51.64,31.64,12.8,3.12,0.76,
27,"MTD.ours1",2.96,34.44,45.84,14.3,2.46,0
27,"OBD.ours1",56.28,30.14,11.24,2.1,0.18,
27,"MTD.ours2",2.82,34.72,45.52,14.04,2.9,0
27,"OBD.ours2",56.12,29.74,11.64,2.18,0.22,
27,"MTD.ours3",2.36,34.24,44.66,15.32,3.42,0
27,"OBD.ours3",53.88,29.34,12.42,3.36,0.84,
27,"MTD.titeet",12.4,39.1,35.2,11.4,1.9,0.1
27,"OBD.titeet",53.3,25.7,14,5.7,1.2,
27,"MTD.tite12",1.3,23.9,39.4,22.2,12.4,0.7
27,"OBD.tite12",45.9,29.2,15.1,6.7,2.3,
27,"MTD.bfet",,,,,,0.1
27,"OBD.bfet",55.2,31.1,10.9,2.2,0.4,
31,"MTD.ours0",36.04,47.14,13.2,2.22,0.22,1.18
