"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
10,"bf.total",7.88,12.2,12.07,8.93,4.43,45.5,-1,5.88,33.42
10,"ours1.s1",8.96,12.09,11.47,8.27,4.48,45.27,-1,0,26.87
10,"ours1.s2",0,0.02,0.2,0.72,0.55,1.49,-1,0,1.25
10,"ours1.total",8.96,12.1,11.67,8.99,5.03,46.76,-1,5.76,28.12
10,"ours2.s1",8.96,12.09,11.45,8.26,4.52,45.28,-1,0,27.4
10,"ours2.s2",0,0.01,0.21,0.71,0.56,1.49,-1,0,1.24
10,"ours2.total",8.96,12.1,11.66,8.97,5.08,46.77,-1,5.74,28.65
10,"ours3.s1",8.86,12.08,11.52,8.42,4.53,45.42,-1,0,27.35
10,"ours3.s2",0,0,0,0,0,0,-1,0,0
10,"ours3.total",8.86,12.08,11.52,8.42,4.53,45.42,-1,5.76,27.35
10,"titeet",5.2,11.4,7.4,4.1,1.9,30,-1,3.5,23.67
10,"tite12",4.1,6.7,6,5.2,3.4,25.4,-1,3.4,22.06
10,"bfet",7.09,10.99,10.76,7.89,4.59,41.32,-1,5.17,23.1
